price,number_of_reviews,,,,,
50,2,,,,,
99,20,,,,,
90,127,,,,,
95,22,,,,,
160,43,,,,,
65,166,,,,,
90,327,,,,,
68,52,,,,,
65,7,,,,,
39,283,,,,,
48,228,,,,,
89,299,,,,,
50,70,,,,,
35,10,,,,,
106,10,,,,,
135,1,,,,,
59,51,,,,,
85,85,,,,,
94,4,,,,,
90,9,,,,,
75,437,,,,,
25,16,,,,,
75,478,,,,,
120,16,,,,,
300,53,,,,,
38,64,,,,,
169,4,,,,,
99,14,,,,,
75,140,,,,,
51,44,,,,,
22,4,,,,,
25,10,,,,,
75,47,,,,,
20,29,,,,,
85,3,,,,,
79,2,,,,,
54,254,,,,,
70,12,,,,,
108,12,,,,,
94,9,,,,,
35,53,,,,,
80,27,,,,,
65,76,,,,,
51,344,,,,,
130,98,,,,,
90,5,,,,,
80,1,,,,,
70,1,,,,,
160,43,,,,,
300,200,,,,,
95,6,,,,,
60,5,,,,,
57,70,,,,,
120,147,,,,,
72,480,,,,,
30,80,,,,,
80,47,,,,,
35,63,,,,,
98,254,,,,,
27,0,,,,,
52,230,,,,,
70,188,,,,,
89,77,,,,,
88,2,,,,,
65,77,,,,,
260,27,,,,,
42,424,,,,,
30,185,,,,,
37,433,,,,,
89,110,,,,,
65,185,,,,,
75,58,,,,,
79,264,,,,,
69,65,,,,,
48,153,,,,,
66,250,,,,,
90,14,,,,,
69,35,,,,,
66,54,,,,,
95,104,,,,,
45,3,,,,,
70,22,,,,,
52,2,,,,,
80,6,,,,,
150,0,,,,,
80,135,,,,,
50,1,,,,,
49,67,,,,,
80,268,,,,,
60,195,,,,,
30,39,,,,,
45,54,,,,,
25,147,,,,,
104,19,,,,,
95,73,,,,,
83,318,,,,,
70,24,,,,,
16,2,,,,,
160,51,,,,,
44,113,,,,,
148,239,,,,,
48,19,,,,,
50,12,,,,,
68,272,,,,,
135,5,,,,,
28,40,,,,,
58,331,,,,,
99,240,,,,,
13,24,,,,,
52,11,,,,,
140,69,,,,,
80,6,,,,,
48,5,,,,,
26,49,,,,,
110,152,,,,,
70,93,,,,,
51,180,,,,,
21,3,,,,,
84,17,,,,,
20,315,,,,,
39,56,,,,,
18,11,,,,,
40,2,,,,,
30,13,,,,,
35,63,,,,,
28,64,,,,,
80,15,,,,,
30,45,,,,,
94,5,,,,,
30,422,,,,,
50,8,,,,,
45,394,,,,,
80,173,,,,,
68,56,,,,,
100,7,,,,,
70,505,,,,,
49,141,,,,,
74,107,,,,,
90,2,,,,,
75,5,,,,,
45,67,,,,,
140,62,,,,,
88,43,,,,,
170,45,,,,,
90,6,,,,,
55,114,,,,,
58,261,,,,,
69,42,,,,,
115,164,,,,,
61,270,,,,,
75,15,,,,,
13,8,,,,,
50,1,,,,,
40,0,,,,,
58,179,,,,,
53,261,,,,,
36,261,,,,,
60,4,,,,,
75,195,,,,,
40,6,,,,,
20,36,,,,,
48,0,,,,,
16,11,,,,,
42,58,,,,,
145,0,,,,,
26,52,,,,,
69,101,,,,,
30,7,,,,,
28,27,,,,,
45,135,,,,,
60,147,,,,,
35,26,,,,,
95,154,,,,,
